,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre09.g409200.v5.5,6.45688,8.21446,6.13721,4.95954,6.52747,5.49841,5.51645,4.9356,5.99326,6.0135,6.58138,6.57998,6.64142,5.6826,5.41908,6.25482,5.74854,5.33954,4.69443,6.18797,4.94747,4.79799,4.073,6.14117,6.87527,5.57929,7.53527,6.55428,3.70566,3.50895,3.25219,3.56251,3.21298,2.78056,2.34257,3.09162,6.11219,6.77003
Cre09.g409300.v5.5,1.79129,2.02996,1.52057,2.05684,2.40184,2.06038,1.38035,1.24013,1.60599,2.64715,1.70889,1.61343,2.28315,1.44599,1.9545,3.43508,2.29605,2.20014,2.09398,2.26337,2.42457,1.76185,2.26608,2.28331,2.4498,1.73378,1.62712,2.18332,0.120046,0.258536,0.259473,0.19038,0.350952,0.207433,0.545817,0.205292,1.47222,1.41788
Cre09.g409325.v5.5,9.83159,11.8275,11.459,9.42323,11.5027,11.1217,11.0808,8.72754,11.1554,7.99285,7.29198,8.6519,10.2673,11.8437,10.9442,10.0178,10.21,11.3399,9.94265,11.6733,7.89986,9.37633,9.33398,7.52981,6.21143,5.836,9.3567,7.20323,1.8497,0.803057,0.856056,0.546913,1.23902,0.794898,2.87317,1.0587,10.2348,8.01623
Cre09.g409350.v5.5,38.4289,43.2247,38.0028,39.995,46.523,37.7362,41.5309,33.2774,36.3071,27.4979,45.8634,47.7506,46.471,39.8317,37.9799,45.0504,45.0135,32.7587,33.8708,43.2422,36.6472,21.0517,17.7597,64.4593,58.867,60.1407,57.3755,35.826,31.8263,54.3708,57.2354,51.7604,35.5517,42.1495,22.4725,35.8217,77.2492,75.4549
Cre09.g409500.v5.5,14.2743,8.17258,8.62962,11.1978,9.75499,7.61223,12.2597,14.7084,10.718,9.36904,9.42843,19.1181,16.363,18.9919,17.2653,22.5171,20.4199,15.5309,14.3444,12.8168,12.9491,13.8486,10.0134,10.1958,6.90188,9.41533,8.27359,12.6647,20.6257,14.5407,12.3472,11.9842,12.7098,13.1832,26.6062,16.526,14.1423,13.6061
Cre09.g409550.v5.5,3.0573,2.55811,3.17722,2.59423,2.46641,2.7073,3.07414,4.15839,2.75357,2.36357,2.54457,3.81252,3.50898,2.93813,3.14571,3.67954,4.53833,3.61194,2.57967,3.07393,3.69264,3.5853,3.16144,2.51337,4.02507,3.41191,7.862,5.39591,1.03533,1.20506,1.90724,1.34715,1.51681,1.63225,2.45243,1.8087,3.17224,2.86578
Cre09.g409600.v5.5,2.51219,3.22322,3.22792,3.8837,2.97661,3.91643,2.07768,8.47178,6.19727,2.7417,2.436,3.25993,2.63634,3.64005,2.96555,2.01905,2.50576,3.03311,2.69782,2.72285,2.98953,3.59402,7.51046,3.56675,3.37459,2.53254,4.14907,3.23675,7.2175,10.1108,8.6343,8.46447,7.95241,8.1961,8.66266,6.34124,4.5253,3.30548
Cre09.g409650.v5.5,28.3383,21.7188,40.8726,19.2094,8.96063,16.6564,45.8213,6.94468,25.5038,10.5972,6.31553,16.0594,17.0662,13.9866,14.703,15.9394,15.6623,14.9966,18.7474,25.7708,12.7264,13.1129,13.1202,59.532,48.4496,43.2759,187.92,63.6954,78.1614,163.957,118.968,146.929,134.481,208.244,108.544,110.34,19.4251,13.3798
Cre09.g409750.v5.5,21.184,18.2346,19.7772,15.5041,19.0205,20.7213,17.3149,20.7445,19.3622,27.0179,20.1483,16.0072,19.8398,17.1,16.1531,16.4428,18.8234,18.7905,18.6999,20.6242,24.164,24.8088,26.9523,14.2626,15.3065,16.7235,10.2533,17.1641,12.7308,11.4393,9.54879,12.4785,10.8507,10.1436,9.86739,10.2914,12.7781,14.0314
Cre09.g409801.v5.5,4.75915,6.63335,4.77509,4.86713,5.56975,5.00274,4.56844,3.62488,4.88019,2.74083,4.10261,3.2126,4.45031,4.03665,2.85223,3.69459,3.14562,3.62172,3.59816,4.44531,2.63612,2.07224,2.05184,3.17821,3.10092,4.02554,5.61144,4.44992,1.46129,2.02339,1.74644,1.45429,1.54029,1.63445,1.10825,1.44467,4.16706,3.67053
Cre09.g409850.v5.5,107.155,158.649,122.642,110.37,145.457,136.741,118.167,123.939,123.669,43.16,70.9425,124.976,103.463,102.88,84.906,80.4685,80.154,93.4221,80.7787,127.378,79.1449,28.1078,24.9886,44.0021,60.5824,45.3498,17.965,14.7561,68.3681,62.9915,69.5085,47.5406,60.2954,52.5463,52.3323,51.001,44.1613,40.687
Cre09.g409901.v5.5,51.1585,66.2092,72.0497,56.0641,40.036,57.4294,60.9461,71.207,67.9732,28.684,36.8812,64.3799,55.697,52.4874,35.8686,31.0696,40.0041,64.7534,46.6612,58.6591,34.7403,23.3767,25.6358,13.5174,15.6372,61.2648,1.90077,9.62887,34.3037,82.5859,44.2489,76.6156,60.9155,58.9716,96.636,47.7105,11.1478,10.2733
Cre09.g409951.v5.5,6.61936,9.75168,6.9209,11.4952,8.73236,8.3275,8.44357,4.63594,9.27284,8.7131,11.5646,11.5835,11.8202,4.26331,6.53603,6.56197,6.6518,8.85448,6.26158,12.5681,8.89976,8.86895,4.32555,5.15942,4.70159,11.8353,4.50973,6.57827,3.01477,5.4096,2.66372,4.17011,3.58645,3.19931,6.17512,3.38301,2.68277,3.11859
Cre09.g410000.v5.5,4.87116,4.71476,5.7074,5.31827,6.88643,5.33931,5.21381,5.27322,5.09797,5.55597,4.873,4.16751,4.68217,4.21895,4.23326,6.80122,5.06773,4.3473,4.478,2.98126,4.95854,7.12214,5.92995,4.93648,4.43111,3.35924,3.80738,4.91511,1.44169,1.03028,0.834091,1.27701,1.31194,1.27187,1.27094,1.33281,2.1715,2.26327
Cre09.g410050.v5.5,41.8,42.7064,41.3152,46.0066,41.9266,42.1064,45.1318,60.8685,44.2166,24.7136,30.6745,52.1836,48.5795,44.6867,52.1367,44.5761,44.1951,50.3812,61.474,57.0685,48.1775,26.922,20.6763,41.1021,40.6066,78.2885,97.1151,77.8008,11.6123,15.8354,11.7481,19.1716,9.46051,27.5923,9.41112,24.909,43.8453,48.6559
Cre09.g410100.v5.5,0.744383,0.598039,0.771021,0.649482,0.359153,0.414398,0.88854,0.794033,0.693699,2.31479,0.509016,1.22601,1.01658,0.622317,0.653471,0.801482,0.732633,0.524954,0.541839,0.43324,0.544925,4.40424,5.27012,0.970876,1.43866,1.19965,0.767295,0.629943,0.466561,0.213018,0.247187,0.240905,0.256139,0.145505,0.213371,0.399134,0.0566596,0.0632296
Cre09.g410150.v5.5,1.42836,0.454262,1.99888,0.770121,0.544679,2.05747,0.198894,1.35166,1.79545,2.60178,2.26762,0.852188,1.29548,0.528694,1.19864,1.25064,0.553537,1.13,0.667171,0.485707,0.883804,1.85366,3.29397,0.40973,0.469136,0.401263,0.36313,1.27521,4.8732,4.02807,1.36655,1.82026,2.39056,1.00345,3.25799,2.6202,1.19725,1.12512
Cre09.g410200.v5.5,6.17977,6.72909,5.69085,8.02717,8.8194,6.36296,5.53565,9.20123,5.94344,7.36169,7.18864,4.53715,4.51666,4.22522,3.65177,6.10457,5.2254,6.68612,5.9524,7.32452,5.97654,6.69484,4.94642,3.32485,2.89693,4.95199,3.8675,3.97916,2.23449,1.68428,2.58126,1.23543,1.96297,1.46668,3.17337,2.32195,3.25981,3.22171
Cre09.g410250.v5.5,36.1191,24.6809,31.3059,21.898,18.5829,24.5261,42.2287,22.6337,30.5226,17.2942,18.2172,28.5201,25.9956,29.6725,21.0823,37.1064,35.1722,29.8354,28.1146,30.4166,36.6585,26.725,37.1132,11.2447,9.37655,10.5583,24.232,29.4073,133.738,113.267,78.3282,89.5898,66.2214,83.7252,94.9217,67.8243,40.5068,38.9478
Cre09.g410400.v5.5,4.90186,6.86984,5.01729,6.37753,5.17988,5.54306,5.66038,4.35531,5.31321,6.72883,5.7003,7.66249,9.19904,4.54929,7.40693,5.74708,4.36985,5.59439,6.1979,7.85458,5.77188,5.99551,5.78378,16.3694,11.586,19.2428,20.1336,6.7916,4.47654,1.7109,1.63484,1.22196,1.89027,1.43986,5.55165,6.13389,4.17186,4.5317
Cre09.g410450.v5.5,33.6481,36.8329,31.9258,29.2568,24.7281,24.7581,27.6846,16.3497,20.7961,46.3465,34.755,25.9723,25.3235,21.9034,21.0936,22.5714,20.4149,19.2627,18.0507,21.5966,20.1094,22.545,20.7725,19.6787,21.3629,15.1027,25.4603,14.1551,6.28198,14.0473,2.64818,12.4607,7.9001,10.7716,3.52321,17.5813,24.6127,30.2345
Cre09.g410600.v5.5,78.0077,58.7407,67.5024,62.1546,63.3919,61.9233,59.6768,67.4548,64.5174,52.1062,58.5703,64.7712,60.4354,79.9387,66.5692,79.1943,76.5939,65.15,65.5742,56.1304,64.9543,67.562,60.8091,82.7066,86.8995,79.8497,128.349,84.0173,85.6225,111.264,77.1296,95.7722,76.4765,78.7545,71.228,80.0527,138.195,133.714
Cre09.g410650.v5.5,35.5567,38.6427,36.172,58.622,52.4488,52.4945,45.644,64.79,47.4367,40.1998,45.4638,57.6176,66.1891,42.2505,39.3587,53.6918,48.0445,53.5925,48.525,53.1396,65.0541,40.0229,30.3443,59.997,71.564,46.0952,65.3307,45.1487,32.7927,48.3693,52.2571,48.3613,42.4101,41.7731,32.3606,42.0237,53.4729,53.1347
Cre09.g410700.v5.5,41.1043,43.0282,58.8774,51.7467,40.5473,60.4537,56.0732,68.1474,71.6342,45.6848,57.7954,73.0778,76.5176,99.4745,132.641,82.3896,78.6968,88.1873,100.568,65.3703,83.1935,61.0362,67.4665,76.1309,69.6205,60.4233,70.8939,71.879,34.4042,68.0498,61.7527,62.0072,65.1365,52.5318,42.2282,59.2784,114.605,115.876
Cre09.g410850.v5.5,0.0501427,0.0982892,0.0664419,0.0913603,0.0867527,0.083891,0.01,0.01,0.0179822,9.67325,0.092214,0.206464,0.01,0.01,0.0144691,0.01,0.0761738,0.026997,0.01,0.0668388,0.01,9.67847,11.8834,0.0690977,0.155734,0.0143799,0.208214,0.211429,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0222085,0.01,0.01
Cre09.g410900.v5.5,0.606329,0.135831,0.229549,0.341942,0.269748,0.217375,0.01,0.490892,0.0931898,4.61151,0.669035,0.0237769,0.49995,0.285635,0.624863,0.180181,0.438634,0.139912,0.34107,0.01,0.350158,9.23578,9.26539,0.167107,0.391303,0.0496827,0.01,0.730486,0.01,0.0370816,0.0872682,0.0123804,0.0692882,0.0404905,0.139048,0.0628832,0.0624111,0.069648
Cre09.g411050.v5.5,2.84993,3.05609,2.94117,2.74902,3.06552,2.49595,3.72327,2.09284,2.8615,3.14402,3.30119,3.70093,3.74367,3.12558,2.96389,4.48649,3.75142,3.32214,2.78009,2.27337,3.13903,6.60997,4.89019,1.39142,0.944848,1.47554,2.46983,4.83922,0.814588,1.00085,0.891187,1.18316,0.975017,1.14052,1.00191,1.24929,3.74245,3.88087
Cre09.g411100.v5.5,1542.34,1387.51,1867.84,1769.56,609.116,1670.4,1617.02,985.226,1745.17,1860.33,1333.11,1139.16,1216.47,1593.89,1573.3,911.968,1014.28,1187.23,1463.15,1340.93,1483.46,2459.64,3021.35,2379.67,2304.93,1822.21,6014.71,3019.09,1923.04,2978.54,1945,2716.16,2576.9,3076.98,2043.94,2610.64,2390.48,2302.46
Cre09.g411150.v5.5,3.82783,3.98133,5.38264,2.78737,2.89232,3.94541,2.70247,3.52166,3.77505,5.37002,4.25244,3.0343,2.585,3.97145,3.62925,2.01095,1.83943,3.30164,4.63326,3.67064,3.56402,3.75079,5.29856,4.49976,5.67959,6.84406,8.23116,2.27827,0.339691,0.789897,1.51018,1.17937,1.83681,1.37483,2.52943,2.27714,1.81534,2.05724
Cre09.g411200.v5.5,79.9003,79.0552,70.6086,68.9658,97.6552,93.1973,78.7937,62.8527,81.708,80.04,79.1694,90.4195,81.7372,71.0607,116.956,114.737,104.196,80.8657,85.8698,100.582,88.5795,76.5727,64.8241,100.364,84.8368,74.7892,87.1006,74.2896,103.507,88.6579,116.529,65.7287,87.8798,81.3006,61.2091,71.0108,39.9069,37.3076
Cre09.g411250.v5.5,1.92314,0.980898,2.22324,3.27157,1.5482,1.94528,1.76178,1.97153,1.7418,1.91745,1.47243,1.30899,1.74426,2.07079,2.15747,1.53079,2.20607,2.66255,3.65107,1.491,2.31191,1.36133,2.69888,0.843716,0.81449,0.962355,1.43622,0.930889,1.78035,2.70716,4.38224,5.3405,4.41324,4.30597,3.66466,5.41356,6.80839,6.15403
Cre09.g411300.v5.5,20.2549,16.2272,14.3069,26.8649,18.833,19.9225,18.3329,21.0393,21.8618,24.0431,21.5326,23.908,24.9148,27.5431,26.0373,39.6192,38.4135,30.2539,42.9331,25.5182,30.4885,34.624,27.7462,6.24862,4.63047,7.72008,13.6676,13.7753,21.2372,13.8797,33.828,27.7693,21.5426,24.3458,20.0078,23.9183,28.8595,26.453
