,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre01.g000017.v5.5,1.74754,1.05101,2.48663,0.542733,0.783349,1.14623,0.656084,1.78023,0.790505,1.86574,1.49003,1.17745,1.78813,2.16103,2.75055,0.433743,1.02577,2.50206,1.64209,0.899946,1.78906,1.30107,3.54568,1.7076,0.841045,3.55392,1.36069,1.63292,0.0127763,0.305883,0.120056,0.0725979,0.347504,0.178287,0.199376,0.566223,3.86319,3.83214
Cre01.g000033.v5.5,1.12253,1.52868,1.85927,1.00469,1.24704,1.96453,4.04526,0.669653,1.81154,0.407053,0.717097,0.373007,1.22759,0.35718,0.18753,1.3826,1.94464,0.604379,1.07594,3.41259,1.19418,0.474362,0.807784,1.57944,2.33537,1.30463,5.21326,21.9431,0.534832,0.204268,0.439488,0.390137,0.399892,0.58328,1.34883,1.47611,2.97992,2.28032
Cre01.g000050.v5.5,1.72212,1.67573,1.84957,1.75177,1.76363,1.94286,1.71385,2.4469,1.90262,1.91544,2.64156,1.47541,1.82739,2.66119,1.65124,1.16866,1.14967,1.3471,1.52801,1.62647,2.0069,2.03871,1.99372,0.94499,1.11856,1.30883,1.97208,2.33628,0.653538,0.735438,0.679289,0.72523,0.572153,0.501318,0.326757,0.587159,2.3121,2.68266
Cre01.g000100.v5.5,1.16804,1.36739,1.03719,1.9065,0.98236,1.40458,1.02145,1.16178,1.27702,1.40223,1.54542,0.935172,1.1298,1.41767,0.969017,1.08832,1.21577,1.21405,1.28557,1.08487,1.27415,1.19834,1.3091,0.921044,0.906933,0.762969,2.13875,1.65875,0.270318,0.277363,0.29911,0.277354,0.368038,0.278233,0.333751,0.372516,1.58981,2.08725
Cre01.g000150.v5.5,1.60786,7.4065,7.37202,4.39429,1.68171,2.54482,7.01624,1.46849,2.47681,2.65501,3.57516,2.27701,3.29014,2.20921,8.16149,3.8577,2.96064,2.67569,2.62597,5.1227,2.72232,1.39658,1.21478,1.36968,3.80718,0.95363,0.322441,1.284,2.19179,3.9335,0.975992,2.0627,1.32972,2.85106,1.30342,4.70645,3.08072,3.68771
Cre01.g000200.v5.5,4.95055,4.71293,5.57687,3.67262,4.43596,4.86631,2.68695,2.86627,4.02496,6.63583,4.60846,2.17784,3.25749,3.32351,2.35916,2.868,3.13562,2.63066,3.95264,2.62239,4.24655,4.55228,6.86077,7.21307,8.14077,9.55884,10.4207,8.51625,1.83042,1.10063,2.388,1.41201,1.32173,1.05521,1.45813,1.32724,3.86925,3.52046
Cre01.g000250.v5.5,9.61142,7.58081,6.85914,9.27569,9.68127,9.51938,8.13215,14.4148,8.02393,12.8351,9.53545,9.48867,15.474,11.7092,13.9249,14.1051,13.6484,12.4845,11.9603,9.67502,13.0943,12.7778,9.47348,22.1663,18.8433,15.9744,13.8123,10.5229,8.6713,11.304,12.1318,11.057,8.08477,9.98589,4.29002,9.49561,10.2647,9.70056
Cre01.g000300.v5.5,30.3283,29.1195,28.5254,23.6164,29.1405,20.1604,36.0706,23.3823,21.7625,25.4581,22.29,24.3809,18.0047,26.253,26.192,29.0655,29.262,21.111,22.4181,28.9243,17.9214,27.0642,20.0364,122.379,99.8213,93.3906,61.085,15.3191,19.7048,8.72909,12.9985,8.46042,9.44063,12.3561,12.629,14.7334,9.05342,8.57903
Cre01.g000350.v5.5,37.0625,30.4715,39.7651,36.2924,33.3315,37.1602,39.9915,23.5654,33.071,29.0449,36.0113,41.4277,40.757,29.4829,32.3882,44.3394,44.7247,34.7284,38.957,39.9185,44.3697,29.1428,23.9313,36.7144,48.5928,45.1572,72.5955,30.2198,25.6108,21.5554,48.4405,25.6462,25.3746,27.5392,25.2107,25.8268,23.5781,23.8546
Cre01.g000400.v5.5,4.64541,4.52371,5.18836,3.61078,3.64988,3.98403,3.35173,4.08407,3.63375,3.70378,3.50344,2.9832,2.16465,4.95402,2.89616,2.29391,2.75164,2.96006,2.89481,3.12447,3.35959,2.54587,4.1989,3.91136,3.86265,5.11504,4.11461,4.35784,1.82735,1.48596,0.776337,1.4603,1.86778,1.42464,1.81995,1.16272,4.60627,4.34363
Cre01.g000450.v5.5,6.23431,5.78221,5.18018,9.76709,5.22651,8.00853,8.61486,8.8806,7.64725,8.84848,7.15684,9.18264,13.7433,5.66455,8.56324,9.93423,9.56073,10.6676,8.41843,8.95173,11.8273,11.1145,8.37266,6.36674,7.04931,4.36988,7.95531,9.75619,5.01647,5.316,3.06772,4.52049,4.81181,4.21176,3.30171,5.01251,5.954,5.62631
Cre01.g000500.v5.5,4.29823,4.49814,3.63926,4.09604,5.65073,5.98769,3.52373,4.54553,4.92095,4.59619,5.80364,4.22658,2.90512,4.35943,3.74536,4.54405,3.8662,4.06502,3.71622,4.75885,5.07065,2.90163,3.85494,0.526061,0.814385,1.07045,0.946707,1.92265,3.35964,3.83295,2.97122,3.22807,2.39455,1.77803,1.71206,2.71743,1.63516,1.70539
Cre01.g000600.v5.5,7.84713,7.13263,8.70343,6.90165,8.00509,7.33014,6.31784,5.39055,6.24325,6.51695,9.00075,5.61649,4.51795,5.75042,4.78031,3.80878,4.09141,5.10124,5.20705,5.44949,5.70666,5.00308,5.42297,10.413,13.1952,11.7022,19.551,7.51629,3.62715,7.48798,5.06509,6.22661,4.87043,4.5586,1.59426,5.3746,10.1986,10.6801
Cre01.g000650.v5.5,13.6268,20.1644,24.6591,16.0818,14.6085,15.5753,14.4581,12.1201,18.8521,35.8356,9.63673,8.43669,7.79331,12.8067,8.79365,8.48446,10.5574,8.38374,9.43874,12.9627,6.05238,26.5688,33.7456,19.2457,16.9464,24.3849,24.1316,11.8962,2.52959,1.99446,2.2612,4.78235,5.74161,6.83197,8.07136,10.9678,2.95907,3.04817
Cre01.g000750.v5.5,7.89076,9.4944,8.46326,13.4241,11.8855,9.94401,11.9797,14.4105,8.6423,12.4983,9.40939,9.22279,10.7359,6.05527,9.88209,11.1753,10.9507,11.6615,9.7376,9.42709,10.7752,14.8986,11.2021,9.26924,9.71751,6.52454,7.41824,11.2422,3.97083,2.32383,2.87595,2.57721,2.43192,2.72995,3.03847,2.40107,3.08459,2.56456
Cre01.g000800.v5.5,5.80881,3.36441,4.47383,4.73059,4.24837,6.46157,5.87873,8.16205,5.49492,6.15852,5.64501,6.55931,4.50653,4.58293,6.16975,5.35509,7.4211,6.11328,4.66983,6.2467,7.25603,8.31028,6.40691,2.6197,6.4113,3.97463,5.34536,12.0155,1.88906,3.7256,4.19027,3.37666,2.99407,3.70047,1.72538,1.9639,4.21079,3.41354
Cre01.g000850.v5.5,52.6623,41.8334,37.7151,47.1007,47.1709,50.5118,43.5613,40.4309,45.2103,51.7869,53.1921,65.0673,54.8074,54.4668,67.169,75.9873,74.8128,58.2618,56.6053,52.0176,62.2896,48.1859,31.3258,49.5444,40.1822,44.4511,51.3228,47.6609,54.7084,66.0278,73.6211,60.9929,45.8437,56.6485,36.1253,57.7012,45.0425,44.1039
Cre01.g000900.v5.5,39.0189,33.4304,27.3262,32.344,32.4562,40.1386,32.4984,36.1308,36.3483,29.4667,30.8146,33.5154,40.6678,28.6899,28.9596,38.3283,38.1525,36.1175,36.4495,35.1033,39.7891,37.726,45.1878,26.061,27.8565,15.0712,13.7758,21.9451,44.9593,44.5887,61.7629,54.2394,46.2319,43.3832,37.6705,40.5581,31.07,32.7177
Cre01.g000950.v5.5,0.906637,1.49283,1.12626,0.99114,1.01958,1.23244,1.10698,1.35461,0.999805,1.46226,1.26718,1.07016,1.58728,0.672694,1.17728,1.55592,1.28548,1.73288,1.13793,0.604264,0.994817,1.67427,1.54343,0.787101,0.780758,1.01402,0.117648,0.3345,0.229457,0.175654,0.235034,0.177878,0.179744,0.162885,0.317307,0.316829,0.146989,0.127581
Cre01.g001100.v5.5,32.3972,39.4987,38.5079,33.2252,17.681,31.1829,28.1063,25.1609,33.397,27.3338,25.4658,28.6208,31.1581,25.3863,22.8946,18.4159,18.6143,19.7915,23.8716,26.8515,19.5339,16.1944,20.8965,23.3652,24.3851,24.9612,34.7639,26.1204,29.148,34.2143,25.8014,27.4852,35.3092,30.7386,32.3097,27.435,35.9347,37.4126
Cre01.g001150.v5.5,1.67061,1.48289,1.58417,1.49732,1.93989,1.52275,1.67528,1.46159,1.45096,1.28189,1.66451,2.86276,2.69764,2.85104,2.79106,2.88035,2.81826,1.74552,1.62239,1.62069,1.35746,2.32548,1.61886,0.569639,0.762843,1.03048,1.88613,1.40024,0.151091,0.215467,0.548483,0.408542,0.380402,0.301556,0.457256,0.415962,1.96632,2.03138
Cre01.g001200.v5.5,1.67845,1.85607,2.03763,2.33151,1.76775,2.52363,2.33718,2.17827,3.32202,1.30109,1.1393,1.33789,2.09558,2.15425,1.49959,1.61086,1.47928,1.33572,1.79197,1.86233,2.04319,2.06979,2.87302,0.376275,0.460089,0.749361,1.6306,2.68225,3.11469,3.35989,2.09773,3.05612,2.24569,2.84261,3.777,2.98691,4.06736,4.88724
Cre01.g001350.v5.5,1.11063,0.862107,0.956568,1.09273,1.07605,1.34714,1.13801,0.98419,1.20285,1.39127,1.45424,1.8658,1.05981,1.83121,0.948622,1.73272,1.82216,1.91348,1.90235,0.819177,1.66762,0.9702,1.29818,0.367312,0.50173,0.509607,0.0691766,0.780495,0.109937,0.25134,0.464239,0.400408,0.480473,0.17773,0.637443,0.60351,1.69657,1.50035
Cre01.g001400.v5.5,7.26551,9.87989,10.0402,9.19528,4.98301,9.15166,8.49214,9.73437,10.1237,4.73718,2.68941,5.21709,4.78929,4.04939,3.10049,2.83015,3.16557,6.83669,5.45343,9.2571,2.99782,5.14485,4.56401,17.3294,14.2783,15.2946,6.50408,2.88303,7.92222,5.15982,6.5197,4.31327,7.22238,11.7188,24.8393,8.91576,0.723959,0.740581
Cre01.g001450.v5.5,3.73603,2.64262,2.38183,3.49987,4.51854,3.02945,2.7086,5.52936,3.91519,2.98025,2.87791,3.87483,4.23126,4.82341,3.1274,5.16883,5.00629,4.63973,3.87726,4.21657,3.57222,3.2091,2.26776,1.63192,1.50765,0.940024,2.6344,2.13634,1.26133,2.53237,2.06671,2.36473,1.76181,2.21187,0.862593,1.27821,0.799982,0.680186
Cre01.g001501.v5.5,1.49935,1.31231,1.37454,1.76828,2.8233,1.62614,1.66121,4.63487,1.36301,1.65983,2.66758,2.56516,1.70389,2.6063,1.97208,2.57491,2.33067,2.7221,2.09381,1.79721,2.21505,1.05266,1.03762,1.11476,1.40784,0.939954,1.90034,1.02916,0.793823,0.550358,1.21235,0.610486,0.392097,0.425558,0.236187,0.47085,0.879378,0.93929
Cre01.g001550.v5.5,17.6305,14.3158,14.5725,15.1605,21.3224,20.6071,21.9238,16.2854,19.0192,14.1698,21.6364,19.2801,24.6985,19.3482,20.8272,19.8505,20.8893,16.1893,19.4618,21.929,19.935,12.7538,11.0592,13.555,18.2201,19.1773,22.7448,15.6379,8.2339,10.8047,20.8577,11.8936,9.75385,8.56546,4.45467,8.84647,15.4376,15.4842
Cre01.g001600.v5.5,2.63688,1.44268,1.64197,1.74844,1.40328,1.62294,1.47433,1.52191,2.12769,1.03486,0.920754,2.69374,3.15942,3.38461,3.72742,3.04634,2.8649,1.94086,2.3411,2.15787,2.42879,2.36372,3.30195,0.952115,1.35709,1.13431,1.22142,2.11111,6.63142,3.04427,2.46781,4.8691,3.40907,3.11728,4.72327,2.20718,3.48135,3.78438
Cre01.g001657.v5.5,16.441,14.2654,11.9072,14.8065,13.8599,16.0118,19.256,19.5986,17.0669,18.0968,16.3628,21.9018,20.4365,13.9085,15.3024,19.4052,19.9163,14.1027,18.2474,22.5236,18.338,20.1892,16.2047,10.3285,11.0136,12.3656,14.8927,12.3757,20.094,14.5939,21.824,15.4215,13.9492,16.1715,10.4415,13.0342,5.83605,6.31836
Cre01.g001664.v5.5,3.89337,2.43262,3.80875,3.23283,3.43114,2.34089,2.40306,5.3595,2.3998,4.00082,4.04989,2.32116,2.31737,3.94528,3.5986,2.43598,2.46443,2.62028,2.45529,1.8245,2.77542,2.22728,2.46265,2.19636,1.85503,3.26243,3.06291,1.34668,1.55322,1.61864,1.77591,1.50667,1.59201,1.50933,2.65931,3.13876,4.90936,5.47863
Cre01.g001678.v5.5,4.09958,4.32264,5.08148,3.48849,3.81918,4.78608,5.79712,4.68848,4.51157,4.04915,3.2891,3.72847,3.83946,3.11973,4.37439,4.36933,4.11756,4.12328,5.07781,4.29875,3.82446,4.05117,5.86365,4.13455,4.83989,3.41713,4.77012,4.46386,3.85669,3.60616,3.56025,4.03925,3.51772,3.89487,3.21305,3.95376,9.34095,9.3373
Cre01.g001750.v5.5,24.7707,26.503,23.8338,30.5023,37.4541,29.7457,32.5069,51.7836,30.958,27.2347,31.0458,35.8339,30.3889,29.6748,24.7807,21.466,18.4756,29.1392,29.7834,32.7486,40.4064,16.5402,18.7575,22.6292,26.6828,17.555,16.3842,21.6216,19.9019,33.7381,26.9235,33.7334,22.326,27.8767,11.7237,22.7417,26.8877,24.7391
Cre01.g001800.v5.5,6.88646,6.89669,6.47643,6.45316,6.80335,7.04885,7.10488,2.49436,6.16966,8.51858,6.75587,5.79277,6.39915,6.37801,4.29778,6.11182,6.4752,5.90968,5.93015,6.5932,5.95477,8.33235,8.68931,7.89393,6.82442,7.39784,9.53386,7.02542,4.1934,5.78647,4.25351,5.21061,6.72807,3.90927,4.35616,5.54246,6.53775,6.79063
Cre01.g001950.v5.5,4.59206,5.61457,4.31637,4.25311,5.44219,4.66966,3.72411,5.14576,5.13599,5.55469,5.00363,3.43494,3.66639,3.24941,3.14706,4.50747,3.80775,4.20307,3.30557,4.96059,3.91161,4.24004,4.52424,7.62519,6.40173,7.90154,7.38898,4.51797,2.33377,2.08485,1.94565,2.14996,1.88173,2.18826,2.42412,2.75759,2.77112,2.95398
Cre01.g001983.v5.5,63.8645,58.8646,57.3337,51.6735,48.2968,55.1719,61.6136,52.6327,59.5841,62.5508,42.5296,58.8843,58.3527,42.6241,47.6733,47.629,41.0264,59.6358,55.4463,57.0694,41.9773,56.3341,40.832,188.964,182.572,176.888,90.4648,35.0758,58.5352,35.898,41.9617,27.9257,35.6003,39.3485,44.4876,46.909,16.8852,15.5324
Cre01.g002050.v5.5,6.27789,4.58906,6.25337,4.89838,4.70665,4.2031,4.19578,7.27745,4.8311,6.81297,3.91256,3.96118,4.44533,4.14522,3.84952,3.49149,4.19449,3.9903,4.37748,3.86453,3.09679,4.98455,3.49465,20.6064,21.209,19.2664,7.67116,2.11399,1.83228,1.47184,2.21422,1.38692,1.80156,2.01423,4.57679,2.74577,3.00002,2.71687
Cre01.g002100.v5.5,2.72294,3.06595,2.88434,2.28831,2.54175,2.16524,2.31951,2.36532,2.08927,3.32176,3.52859,4.07622,2.92383,2.78426,2.72264,3.39192,3.14243,2.77861,2.49346,2.63784,2.66961,3.41668,2.02021,4.51145,4.43409,4.42192,2.3665,1.5019,0.740053,0.659661,0.792333,0.50087,0.619713,0.45606,0.590743,0.718799,2.4982,3.4753
Cre01.g002150.v5.5,2.08711,2.71605,1.76687,2.27107,2.36717,1.92778,2.74816,2.74797,1.28905,1.81563,1.87648,1.81423,2.67692,1.84808,2.1748,1.89942,1.55596,1.49828,1.54092,1.55845,1.60709,1.35922,0.994724,0.639128,0.91667,0.232768,0.01,0.0203714,0.558307,1.10934,0.591574,0.860001,1.11933,0.794935,1.53736,0.869418,2.69442,2.47074
Cre01.g002200.v5.5,18.2057,11.6671,16.1977,16.3787,10.6041,15.4953,12.3909,9.82415,13.0661,10.749,17.2831,11.3285,13.4174,11.6029,11.7514,9.06635,14.209,14.2275,14.0782,10.0754,17.6979,9.57973,9.45724,21.5843,19.9973,33.282,28.6344,11.7263,17.8881,34.7555,20.8744,28.8596,21.4594,25.4146,12.3718,21.1271,39.0079,34.3868
Cre01.g002227.v5.5,5.17038,5.35125,4.60978,4.54875,4.96852,4.91213,5.30495,4.1099,4.76797,4.96871,5.4769,4.69579,4.67253,2.53314,5.06413,3.18049,2.6482,3.2929,3.66461,3.89875,4.19735,3.70062,4.63363,4.47037,4.93009,6.71082,4.46279,7.72411,2.34451,4.55075,2.21332,4.00065,2.48097,2.55562,1.51495,3.11343,4.24696,3.34966
Cre01.g002234.v5.5,5.67698,4.88058,3.94242,3.04277,6.7505,5.55627,3.0531,4.38022,4.53262,9.86578,9.6883,3.77155,4.96553,4.04684,5.71705,7.73733,6.18885,5.68108,5.38027,6.86359,4.86606,9.60777,6.85819,6.06713,5.07751,5.24658,1.06383,2.64068,2.05201,2.37213,2.35929,1.78515,2.15132,1.618,1.00992,2.01993,2.32457,2.38048
Cre01.g002250.v5.5,8.01009,7.81602,7.80429,7.67282,6.114,8.89311,6.51443,3.82342,6.73792,10.0711,8.7735,5.6263,6.05094,5.30875,3.65402,3.64489,3.93689,4.56638,5.73993,7.01342,6.63268,6.31786,8.44759,6.93127,4.92236,5.7429,8.46827,9.14744,2.93215,6.63047,5.27014,5.24629,5.17868,4.91246,1.23489,3.78122,5.75043,6.77242
Cre01.g002300.v5.5,546.924,394.007,412.945,457.618,433.266,329.537,378.682,488.356,327.194,446.593,478.05,473.933,329.161,559.668,372.406,585.247,560.877,478.209,456.94,352.774,477.766,265.021,250.373,690.888,684.385,537.69,219.52,333.73,1377.9,945.682,988.805,834.878,1065.91,985.978,1141.36,1113.74,642.415,617.476
Cre01.g002350.v5.5,8.04929,9.45605,6.18712,8.72569,9.94274,7.58087,9.35303,11.5302,7.76819,9.37952,8.61752,14.1825,12.0344,11.4192,10.6833,15.2591,12.7317,12.0791,9.87295,10.2261,12.0627,9.92051,8.26632,5.31507,6.16279,5.54648,6.45349,4.67941,3.5264,3.10571,3.428,2.96699,3.48101,2.6183,3.48966,3.60542,6.66923,7.06489
Cre01.g002400.v5.5,7.64604,5.17181,7.63426,6.54045,6.3348,6.10331,10.6221,7.6012,7.37647,3.0016,4.2382,10.9968,4.47544,9.05565,9.3536,7.39249,6.65333,6.43625,9.32898,7.36844,6.59235,7.2977,4.56159,5.16433,4.56092,5.83733,11.3478,14.2665,2.3916,6.31404,6.32756,8.88677,3.82497,6.11496,3.14408,4.62034,8.14723,7.36015
Cre01.g002500.v5.5,71.4049,96.1689,99.0502,97.6137,83.9617,101.984,148.985,99.5417,105.884,61.8811,67.2458,88.0761,95.7057,89.2158,98.2345,99.598,88.6963,94.169,102.779,113.021,124.295,48.1232,68.8513,109.008,98.3591,75.0088,96.9597,111.62,296.612,436.579,416.818,431.549,310.011,392.019,192.944,336.285,259.516,239.441
Cre01.g002550.v5.5,5.828,7.01613,7.13241,6.06099,7.57254,7.51008,4.89125,5.2428,8.4823,6.02922,5.30354,5.54356,5.14002,5.03137,6.92717,4.86291,6.14769,5.11917,5.14405,5.99669,4.85568,7.07895,9.13231,5.86903,6.34541,4.94642,5.81211,7.93814,3.49883,6.20909,4.05645,5.68927,5.90689,6.48165,9.35631,6.08021,6.95029,6.87159
Cre01.g002600.v5.5,1.41071,1.72552,1.43934,0.959587,1.21058,0.991276,2.05341,0.98846,1.15348,1.43142,0.933962,0.542139,0.933637,0.682292,0.993256,0.704283,1.05725,1.3064,0.972094,1.35391,0.945042,1.37732,0.726138,0.513213,1.11527,0.55021,1.61092,3.58883,0.412735,0.257024,0.280143,0.222115,0.212886,0.327675,0.339674,0.377804,0.223627,0.22687
Cre01.g002700.v5.5,1.77258,1.3393,1.34521,1.50718,1.65049,1.60413,1.97524,2.57371,1.57766,1.51398,1.50545,3.47682,3.17458,2.40898,2.13898,2.81574,2.92124,2.51601,2.04634,2.24112,2.30793,2.37031,1.52932,0.746122,1.15566,1.18303,1.78992,1.41554,0.677328,0.415798,0.688905,0.648486,0.39308,0.443943,0.583673,0.708998,1.47466,1.58086
Cre01.g002750.v5.5,3.52042,3.73595,3.57217,2.4369,4.4472,3.86728,3.69231,3.06853,3.56364,3.9072,2.35204,2.78796,2.99133,2.06739,3.184,3.06472,1.87308,1.65398,2.62292,2.7299,1.52067,4.04714,4.31248,1.71238,2.05336,2.60706,2.89625,14.0109,0.391903,0.523543,0.440615,0.650577,0.523378,0.501747,0.308712,0.627688,0.539561,0.705747
Cre01.g002861.v5.5,1.94963,1.4982,1.45549,1.86192,1.74032,1.78159,1.38673,1.01174,1.64662,2.45113,1.87586,1.63655,1.70142,1.91011,3.0942,2.20411,2.07459,2.10691,1.57849,1.85814,1.86022,2.45014,2.48461,1.45234,1.43601,1.05337,1.07059,1.38,0.706644,0.685593,0.36937,0.295521,0.709907,0.425028,0.793093,0.558583,1.37432,1.46552
Cre01.g002900.v5.5,34.0366,35.1196,31.0309,35.022,29.6252,41.6027,20.7683,18.3576,33.1872,21.6867,26.9982,17.1425,23.8371,21.0363,24.0876,19.1846,19.2558,24.2699,20.7603,27.4101,21.3771,16.7811,20.6238,7.11355,12.3,4.47764,2.48356,4.29165,20.3483,21.8443,32.8321,19.7174,36.0892,16.1735,16.6439,15.9004,4.49042,3.59382
Cre01.g002950.v5.5,3.71579,2.1851,2.67474,2.70808,4.23256,3.5662,2.09173,3.32176,3.61953,2.92494,4.23306,3.275,3.36189,2.25196,2.05172,2.91422,3.02077,2.88738,3.32171,3.40017,3.54942,3.05762,3.23081,2.78995,2.7221,2.67847,2.47084,5.29323,3.8495,2.8508,2.99083,3.17073,2.9177,2.40484,1.77076,2.94007,4.16806,4.89364
Cre01.g003050.v5.5,1.1959,1.09789,1.958,0.917038,1.12533,1.07417,1.14935,1.74203,0.916377,1.08316,0.873393,1.36743,1.09243,1.84415,1.13209,1.15435,1.76443,1.1534,1.2196,0.997772,1.14775,1.43408,1.23169,1.38004,2.4122,1.85047,1.86217,0.925055,0.0884293,0.201705,0.283393,0.224962,0.369664,0.358735,0.298363,0.324538,0.976422,1.17266
Cre01.g003150.v5.5,1.81017,1.78482,1.46079,1.47549,2.45836,1.63949,0.742915,3.28169,1.5009,2.35284,1.77211,1.83814,1.66534,1.43622,1.92049,1.42267,1.73677,1.93454,2.02981,1.28811,1.50913,1.50804,1.90467,4.55755,2.44404,3.51283,2.522,2.36726,1.1638,1.26962,1.26135,1.07696,1.10345,0.969955,0.589478,1.52697,3.78062,3.69368
Cre01.g003200.v5.5,6.32423,4.65461,3.69588,6.81222,7.26692,8.21004,9.69856,7.10063,6.344,8.25864,7.37328,9.62995,7.92017,6.29583,5.09598,8.25319,8.48964,10.2151,9.13283,8.97339,10.0265,12.225,9.96484,3.89705,3.09958,2.92585,2.88006,5.91194,3.59268,2.5218,5.2125,4.72854,3.65834,3.3176,4.84317,4.23215,4.62139,4.50961
Cre01.g003376.v5.5,2.77935,2.18505,3.07229,2.7351,3.8726,2.15404,1.72931,1.97563,1.75895,2.30405,4.46079,1.89714,1.97301,1.81345,1.4925,1.04346,2.57397,1.99254,1.97519,2.32789,2.00851,2.10507,1.64962,5.67742,5.65266,7.87683,5.90165,2.9768,1.10188,1.79315,1.55418,0.632927,1.13186,0.848176,0.835443,1.3951,5.79921,6.20276
Cre01.g003450.v5.5,2.85662,2.77882,1.92802,2.81927,3.02715,2.56889,3.07758,3.93691,2.49074,2.8516,3.09951,3.50912,4.12185,3.25768,1.9989,3.45387,2.42279,2.4991,2.40603,3.63342,3.15496,1.92657,2.55598,2.14537,1.5929,1.82271,4.76325,2.65989,0.995864,1.23848,1.96541,1.08838,0.899076,1.04015,0.970332,1.4467,2.35317,3.15738
Cre01.g003463.v5.5,8.2286,7.52284,6.20546,7.99042,9.5581,6.68145,6.2995,8.89465,5.65758,6.45072,7.07975,9.10769,7.20782,7.56896,6.47052,8.85427,7.8177,6.51718,6.1338,6.46301,7.60941,5.86327,4.83051,5.04248,5.63648,4.17704,3.35778,6.35905,2.08577,1.59684,1.61994,1.90985,2.35343,1.98898,3.06816,1.9998,5.81958,5.2019
Cre01.g003487.v5.5,2.89623,1.9928,2.91742,2.54873,2.14749,2.3486,0.933935,2.86252,2.0879,2.90617,3.17402,2.85558,2.91112,3.24853,1.29624,2.67421,2.3346,2.03671,2.18193,1.94341,2.90143,1.97422,2.55119,2.31319,3.0707,1.45777,9.17328,3.65535,1.4432,1.71229,3.62982,2.40486,2.26496,2.29104,1.38787,2.60489,3.1729,2.85166
Cre01.g003500.v5.5,1.73966,0.967506,1.42955,1.96159,1.32059,1.32553,1.67886,3.15437,1.55244,1.58376,1.26484,1.93607,2.51139,2.54225,2.01965,3.47852,3.73528,2.5194,2.21699,1.45012,2.85822,2.48173,1.65585,0.40884,0.929067,0.456343,0.650961,1.76743,0.557445,0.311189,0.409054,0.439886,0.385217,0.471709,0.714053,0.423052,1.35074,1.32843
Cre01.g003508.v5.5,0.308092,0.181176,1.68399,0.701683,0.359799,0.893987,0.0276597,1.54763,0.227883,0.868375,1.99723,0.57086,1.55603,2.22244,7.16778,0.360497,1.17016,0.746497,1.87659,0.179661,1.00083,0.371054,4.64605,0.413944,0.195725,0.132541,0.779642,0.73078,0.01,0.358405,0.01,0.221856,0.343169,0.139831,0.291875,0.487784,2.74704,3.90164
Cre01.g003516.v5.5,17.7691,23.7842,34.1599,13.0252,26.1292,22.9166,26.5807,12.75,22.0101,29.7293,21.5415,11.8033,13.6786,14.1251,29.9191,17.7531,18.5021,16.403,18.1754,15.2234,19.2663,31.3722,54.4389,8.1437,8.42267,8.80792,16.1616,29.87,1.86679,3.58944,2.50951,3.23666,2.66899,2.70784,1.96853,3.35285,9.2467,9.04146
Cre01.g003524.v5.5,13.7434,15.28,13.6684,19.3292,17.4192,17.3226,14.0114,18.3622,15.8106,15.6591,13.6426,13.8527,15.6147,12.0346,15.5156,15.0332,14.7474,15.8796,15.11,17.1604,17.1402,16.1677,13.8851,6.46046,13.4812,4.6144,9.07312,7.01028,5.24942,5.39875,5.78153,5.29276,5.7186,4.91702,6.0534,4.66622,6.70961,5.66228
Cre01.g003532.v5.5,1.66777,1.84046,1.45288,1.95898,2.10698,2.05707,1.2386,1.0311,1.95082,1.48689,1.48786,2.39033,2.37566,1.79032,1.47446,1.36186,1.64947,1.78817,1.75004,1.86366,1.3402,1.50431,1.40412,0.856698,1.38261,1.12343,1.16032,1.41388,1.60551,1.09027,2.06443,1.41019,1.38509,0.886244,1.2901,1.26792,0.590646,0.813219
Cre01.g003550.v5.5,2.45693,1.9915,3.52394,2.21407,3.14327,2.95793,1.72646,2.73009,2.45043,4.84125,3.89801,1.81549,1.44104,3.37219,4.02387,1.16029,1.5333,3.04603,3.49064,2.00929,3.03719,3.83873,5.9281,2.42672,2.65483,4.13615,2.39888,4.50784,1.01516,1.39469,2.05603,1.36844,2.06681,1.05111,2.56996,1.99908,5.024,4.86971
Cre01.g003650.v5.5,6.5205,6.39699,7.64229,5.40018,6.90178,4.93522,4.89026,8.76584,6.00685,8.76022,6.62916,4.14269,6.08432,5.78498,3.67526,5.32385,5.6464,5.77058,5.2754,4.68751,5.24596,9.84812,11.1199,10.6633,7.85722,10.2824,5.56319,9.30536,4.68374,4.7574,2.66235,3.89085,4.49969,3.39727,8.67211,4.59359,11.9133,11.1691
Cre01.g003700.v5.5,2.65748,2.45782,2.05228,3.56026,3.87748,2.84419,3.67548,2.46702,2.29701,3.24655,3.45886,3.9636,3.63736,4.73439,4.13096,6.21258,4.54942,3.50824,2.87925,3.2518,2.6798,3.30559,1.72707,1.87752,1.60984,1.8899,1.55016,2.07277,0.32525,0.201222,0.479782,0.31716,0.296744,0.376173,0.323497,0.348097,1.04045,1.1214
